pais,iso,migracion_neta,anio
European Union,EUU,3526622,2022
Fiji,FJI,-28720,2022
Finland,FIN,58003,2022
Fragile and conflict affected situations,FCS,705785,2022
France,FRA,400002,2022
French Polynesia,PYF,-5000,2022
Gabon,GAB,5000,2022
"Gambia, The",GMB,-13000,2022
Georgia,GEO,-50000,2022
Germany,DEU,750000,2022
Ghana,GHA,-100000,2022
Greece,GRC,49996,2022
Grenada,GRD,-2997,2022
Guam,GUM,0,2022
Guatemala,GTM,-71678,2022
Guinea,GIN,-10000,2022
Guinea-Bissau,GNB,-10000,2022
Guyana,GUY,-22097,2022
Haiti,HTI,-175000,2022
Heavily indebted poor countries (HIPC),HPC,-2079649,2022
High income,HIC,12343865,2022
Honduras,HND,-48782,2022
"Hong Kong SAR, China",HKG,150000,2022
Hungary,HUN,29999,2022
Iceland,ISL,1902,2022
India,IND,-1858483,2022
Indonesia,IDN,-700000,2022
"Iran, Islamic Rep.",IRN,-117233,2022
Iraq,IRQ,-104145,2022
Ireland,IRL,50002,2022
Israel,ISR,50002,2022
Italy,ITA,528268,2022
Jamaica,JAM,-84999,2022
Japan,JPN,250000,2022
Jordan,JOR,-394312,2022
Kazakhstan,KAZ,0,2022
Kenya,KEN,-50000,2022
Kiribati,KIR,-2129,2022
"Korea, Dem. People’s Rep.",PRK,0,2022
"Korea, Rep.",KOR,200000,2022
Kuwait,KWT,70000,2022
Kyrgyz Republic,KGZ,-100001,2022
Lao PDR,LAO,-74998,2022
Late-demographic dividend,LTE,-2503760,2022
Latin America & Caribbean,LCN,-1699951,2022
Latin America & Caribbean (excluding high income),LAC,-1807659,2022
Latin America & the Caribbean (IDA & IBRD countries),TLA,-1584156,2022
Latvia,LVA,-359,2022
Least developed countries: UN classification,LDC,-4174973,2022
Lebanon,LBN,-770137,2022
Lesotho,LSO,-19997,2022
Liberia,LBR,-25000,2022
Libya,LBY,20001,2022
Lithuania,LTU,0,2022
Low & middle income,LMY,-12362842,2022
Low income,LIC,-2040746,2022
Lower middle income,LMC,-6198795,2022
Luxembourg,LUX,25001,2022
"Macao SAR, China",MAC,25000,2022
"Macedonia, FYR",MKD,-4999,2022
Madagascar,MDG,-5000,2022
Malawi,MWI,-60000,2022
Malaysia,MYS,250000,2022
Maldives,MDV,-53,2022
Mali,MLI,-200000,2022
Malta,MLT,3999,2022
Mauritania,MRT,-20000,2022
Mauritius,MUS,0,2022
Mexico,MEX,-563587,2022
"Micronesia, Fed. Sts.",FSM,-5000,2022
Middle East & North Africa,MEA,1236396,2022
Middle East & North Africa (excluding high income),MNA,594397,2022
Middle East & North Africa (IDA & IBRD countries),TMN,619397,2022
Middle income,MIC,-10324676,2022
Moldova,MDA,-14318,2022
Mongolia,MNG,-15001,2022
Montenegro,MNE,-2412,2022
Morocco,MAR,-300001,2022
Mozambique,MOZ,-25000,2022
Myanmar,MMR,-50000,2022
Namibia,NAM,-2236,2022
