p4_4,origin_country_code,age,destination_country_code,year,p4_9,p4_9c,year_return,cond_resid,doc_mig,ent,tam_loc,tpo_mig,fac_hog,sex,motive,category,status,socioeconomic_level,origin_country,destination_country
1,13,1,301,21,1,13,2020,2,1.0,13,4,,263,Male,Job search,Economic,Returned,Low,Mexico,United States
1,221,1,408,22,1,13,2020,2,1.0,13,4,,263,Male,Job search,Economic,Returned,Low,Mexico,Haiti
1,221,1,408,15,1,13,2020,2,1.0,13,4,,263,Male,Job search,Economic,Returned,Low,Mexico,Haiti
1,221,1,408,13,1,13,2020,2,1.0,13,4,,263,Male,Job search,Economic,Returned,Low,Mexico,Haiti
1,13,1,301,34,1,13,2019,2,2.0,13,4,,204,Male,Job search,Economic,Returned,Low,Mexico,United States
1,22,1,301,17,1,13,2020,2,2.0,13,4,,228,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,201,60,1,13,2023,2,1.0,13,4,,228,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,301,22,1,13,2023,2,1.0,13,4,,228,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,34,1,13,2023,2,1.0,13,4,,238,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,29,1,13,2022,2,2.0,13,4,,238,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,23,1,13,2021,2,2.0,13,4,,238,Male,Job search,Economic,Returned,Low,Mexico,United States
1,15,1,301,22,1,13,2023,2,1.0,13,4,,238,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,101,36,1,13,2023,2,1.0,13,4,,238,Male,Job search,Economic,Returned,Low,Mexico,Mexico
1,13,2,301,21,1,13,2023,2,2.0,13,4,,316,Female,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,19,1,13,2019,2,2.0,13,4,,301,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,101,27,1,13,2021,2,2.0,13,4,,241,Male,Job search,Economic,Returned,Low,Mexico,Mexico
1,13,1,418,28,1,13,2023,2,1.0,13,4,,241,Male,Job search,Economic,Returned,Low,Mexico,Other Caribbean
1,13,1,201,45,1,13,2021,2,2.0,13,4,,241,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,221,1,101,38,1,13,2023,2,2.0,13,4,,241,Male,Job search,Economic,Returned,Low,Mexico,Mexico
1,13,1,301,21,1,13,2021,2,2.0,13,4,,320,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,17,1,13,2022,2,2.0,13,4,,320,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,101,31,1,13,2019,1,2.0,13,4,39.0,320,Male,Job search,Economic,Established,Low,Mexico,Mexico
1,13,1,301,27,1,13,2021,2,2.0,13,4,,320,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,201,49,1,13,2022,2,2.0,13,4,,266,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,101,35,1,13,2020,2,2.0,13,4,,266,Male,Job search,Economic,Returned,Low,Mexico,Mexico
1,13,1,301,30,1,13,2022,2,2.0,13,4,,266,Male,Job search,Economic,Returned,Low,Mexico,United States
1,22,1,301,24,1,13,2022,2,2.0,13,4,,290,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,101,41,1,13,2022,1,1.0,13,4,12.0,283,Male,Job search,Economic,Established,Low,Mexico,Mexico
1,24,1,301,28,1,13,2020,2,1.0,13,4,,283,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,101,51,1,13,2022,1,1.0,13,4,5.0,283,Male,Job search,Economic,Established,Low,Mexico,Mexico
