"upm","viv_sel","hogar","n_ren","llave_mig","llave_per","llave_hog","llave_viv","ent","tam_loc","p4_4","p4_5","p4_5c","p4_6","p4_7","p4_7c","p4_8","p4_9","p4_9c","p4_10_1","p4_10_2","p4_11","p4_11c","p4_12","p4_12c","p4_13","p4_14","p4_14c","p4_15","p4_15c","p4_16","p4_16c","p4_17","p4_17c","p4_18_1","p4_18_2","p4_19","p4_19c","p4_20_1","p4_20_2","fac_hog","t_loc_ur","t_loc_ag1","p4_8_ag1","p4_8_ag2","doc_mig","cond_resid","tpo_mig","tpo_mig_ag","estrato","est_dis","upm_dis"
"2701794","20","1","01","270179420101","","2701794201","270179420","27","3","1","1","027","1","2","201","041","1","027","07","2023","1","221","7","46","7","1","01","1","221","7","46","","","","","","","","",178,"1","2","9","3","2","2","","","2","522","12780"
"2701794","20","1","02","270179420102","","2701794201","270179420","27","3","1","1","027","1","3","301","018","1","027","07","2023","1","221","7","46","7","1","01","1","221","7","46","","","","","","","","",178,"1","2","4","2","2","2","","","2","522","12780"
"2702027","01","1","01","270202701101","","2702027011","270202701","27","3","1","1","027","1","3","301","030","1","027","07","2021","1","221","2","02","7","1","01","1","221","2","02","","","","","","","","",232,"1","2","7","3","2","2","","","2","516","12797"
"2702041","03","1","01","270204103101","270204103101","2702041031","270204103","27","3","1","1","027","1","1","101","038","1","027","11","2019","2","213","","","","1","01","2","260","","","8","213","04","2022","3","03","1","01",198,"1","2","8","3","","1","29","2","2","522","12800"
"2760029","15","1","01","276002915101","","2760029151","276002915","27","4","1","1","027","2","2","201","043","1","027","05","2021","1","221","2","02","7","1","01","1","221","5","05","","","","","","","","",213,"2","2","9","3","2","2","","","1","525","12812"
"2760131","03","1","01","276013103101","","2760131031","276013103","27","4","1","1","027","1","8","413","026","1","027","04","2021","2","213","","","","1","01","3","213","","","","","","","","","","",215,"2","2","6","2","","2","","","2","526","12821"
"2760181","08","1","01","276018108101","","2760181081","276018108","27","4","1","1","027","1","2","201","023","1","027","04","2019","1","221","3","06","6","1","01","1","221","3","06","","","","","","","","",241,"2","2","5","2","1","2","","","1","525","12825"
"2760185","18","1","01","276018518101","","2760185181","276018518","27","4","1","1","027","1","2","201","025","2","019","11","2022","1","221","6","03","6","1","01","1","221","6","03","","","","","","","","",271,"2","2","6","2","1","2","","","1","525","12826"
"2760279","16","1","01","276027916101","","2760279161","276027916","27","4","1","1","027","1","8","403","020","1","027","07","2023","1","221","7","40","7","1","01","1","221","7","40","","","","","","","","",255,"2","2","5","2","2","2","","","2","526","12832"
"2760347","10","1","01","276034710101","","2760347101","276034710","27","4","1","1","027","1","8","501","046","1","027","12","2021","1","221","6","03","7","1","01","1","221","6","03","","","","","","","","",223,"2","2","10","3","2","2","","","2","526","12834"
